Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_002901205.1	Primary Assembly	Un			PDCF01015527.1	Chromosome		NW_019782593.1	unplaced-scaffold	2025			scaffold15522_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015528.1	Chromosome		NW_019782594.1	unplaced-scaffold	2025			scaffold15523_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015529.1	Chromosome		NW_019782595.1	unplaced-scaffold	2025			scaffold15524_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015530.1	Chromosome		NW_019782596.1	unplaced-scaffold	2025			scaffold15525_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015531.1	Chromosome		NW_019782597.1	unplaced-scaffold	2025			scaffold15526_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015532.1	Chromosome		NW_019782598.1	unplaced-scaffold	2025			scaffold15527_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015533.1	Chromosome		NW_019782599.1	unplaced-scaffold	2025			scaffold15528_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015534.1	Chromosome		NW_019782600.1	unplaced-scaffold	2025			scaffold15529_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015535.1	Chromosome		NW_019782602.1	unplaced-scaffold	2024			scaffold15530_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015536.1	Chromosome		NW_019782603.1	unplaced-scaffold	2024			scaffold15531_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015537.1	Chromosome		NW_019782604.1	unplaced-scaffold	2024			scaffold15532_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015538.1	Chromosome		NW_019782605.1	unplaced-scaffold	2024			scaffold15533_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015539.1	Chromosome		NW_019782606.1	unplaced-scaffold	2024			scaffold15534_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015540.1	Chromosome		NW_019782607.1	unplaced-scaffold	2024			scaffold15535_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015541.1	Chromosome		NW_019782608.1	unplaced-scaffold	2024			scaffold15536_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015542.1	Chromosome		NW_019782609.1	unplaced-scaffold	2024			scaffold15537_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015543.1	Chromosome		NW_019782610.1	unplaced-scaffold	2024			scaffold15538_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015544.1	Chromosome		NW_019782611.1	unplaced-scaffold	2024			scaffold15539_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015545.1	Chromosome		NW_019782613.1	unplaced-scaffold	2024			scaffold15540_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015546.1	Chromosome		NW_019782614.1	unplaced-scaffold	2024			scaffold15541_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015547.1	Chromosome		NW_019782615.1	unplaced-scaffold	2023			scaffold15542_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015548.1	Chromosome		NW_019782616.1	unplaced-scaffold	2023			scaffold15543_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015549.1	Chromosome		NW_019782617.1	unplaced-scaffold	2023			scaffold15544_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015550.1	Chromosome		NW_019782618.1	unplaced-scaffold	2023			scaffold15545_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015551.1	Chromosome		NW_019782619.1	unplaced-scaffold	2023			scaffold15546_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015552.1	Chromosome		NW_019782620.1	unplaced-scaffold	2023			scaffold15547_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015554.1	Chromosome		NW_019782621.1	unplaced-scaffold	2023			scaffold15549_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015555.1	Chromosome		NW_019782623.1	unplaced-scaffold	1906			scaffold15550_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015556.1	Chromosome		NW_019782624.1	unplaced-scaffold	2023			scaffold15551_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015557.1	Chromosome		NW_019782625.1	unplaced-scaffold	2023			scaffold15552_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015558.1	Chromosome		NW_019782626.1	unplaced-scaffold	2023			scaffold15553_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015559.1	Chromosome		NW_019782627.1	unplaced-scaffold	2023			scaffold15554_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015560.1	Chromosome		NW_019782628.1	unplaced-scaffold	2023			scaffold15555_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015561.1	Chromosome		NW_019782629.1	unplaced-scaffold	2023			scaffold15556_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015562.1	Chromosome		NW_019782630.1	unplaced-scaffold	2023			scaffold15557_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015563.1	Chromosome		NW_019782631.1	unplaced-scaffold	2023			scaffold15558_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015564.1	Chromosome		NW_019782632.1	unplaced-scaffold	2023			scaffold15559_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015565.1	Chromosome		NW_019782634.1	unplaced-scaffold	2023			scaffold15560_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015566.1	Chromosome		NW_019782635.1	unplaced-scaffold	2023			scaffold15561_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015567.1	Chromosome		NW_019782636.1	unplaced-scaffold	2023			scaffold15562_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015568.1	Chromosome		NW_019782637.1	unplaced-scaffold	2022			scaffold15563_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015569.1	Chromosome		NW_019782638.1	unplaced-scaffold	2022			scaffold15564_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015570.1	Chromosome		NW_019782639.1	unplaced-scaffold	2022			scaffold15565_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015571.1	Chromosome		NW_019782640.1	unplaced-scaffold	2022			scaffold15566_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015572.1	Chromosome		NW_019782641.1	unplaced-scaffold	2022			scaffold15567_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015573.1	Chromosome		NW_019782642.1	unplaced-scaffold	2022			scaffold15568_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015574.1	Chromosome		NW_019782643.1	unplaced-scaffold	2021			scaffold15569_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015575.1	Chromosome		NW_019782645.1	unplaced-scaffold	2021			scaffold15570_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015576.1	Chromosome		NW_019782646.1	unplaced-scaffold	2021			scaffold15571_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015577.1	Chromosome		NW_019782647.1	unplaced-scaffold	2021			scaffold15572_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015578.1	Chromosome		NW_019782648.1	unplaced-scaffold	2021			scaffold15573_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015579.1	Chromosome		NW_019782649.1	unplaced-scaffold	2021			scaffold15574_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015580.1	Chromosome		NW_019782650.1	unplaced-scaffold	2021			scaffold15575_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015581.1	Chromosome		NW_019782651.1	unplaced-scaffold	2021			scaffold15576_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015582.1	Chromosome		NW_019782652.1	unplaced-scaffold	2021			scaffold15577_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015583.1	Chromosome		NW_019782653.1	unplaced-scaffold	2021			scaffold15578_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015584.1	Chromosome		NW_019782654.1	unplaced-scaffold	2021			scaffold15579_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015585.1	Chromosome		NW_019782656.1	unplaced-scaffold	2020			scaffold15580_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015586.1	Chromosome		NW_019782657.1	unplaced-scaffold	2020			scaffold15581_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015587.1	Chromosome		NW_019782658.1	unplaced-scaffold	2020			scaffold15582_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015588.1	Chromosome		NW_019782659.1	unplaced-scaffold	2020			scaffold15583_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015589.1	Chromosome		NW_019782660.1	unplaced-scaffold	2020			scaffold15584_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015590.1	Chromosome		NW_019782661.1	unplaced-scaffold	2020			scaffold15585_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015591.1	Chromosome		NW_019782662.1	unplaced-scaffold	2020			scaffold15586_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015592.1	Chromosome		NW_019782663.1	unplaced-scaffold	2020			scaffold15587_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015593.1	Chromosome		NW_019782664.1	unplaced-scaffold	2020			scaffold15588_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015594.1	Chromosome		NW_019782665.1	unplaced-scaffold	2020			scaffold15589_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015595.1	Chromosome		NW_019782667.1	unplaced-scaffold	2020			scaffold15590_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015596.1	Chromosome		NW_019782668.1	unplaced-scaffold	2019			scaffold15591_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015597.1	Chromosome		NW_019782669.1	unplaced-scaffold	2019			scaffold15592_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015598.1	Chromosome		NW_019782670.1	unplaced-scaffold	2019			scaffold15593_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015599.1	Chromosome		NW_019782671.1	unplaced-scaffold	2019			scaffold15594_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015600.1	Chromosome		NW_019782672.1	unplaced-scaffold	2019			scaffold15595_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015601.1	Chromosome		NW_019782673.1	unplaced-scaffold	2019			scaffold15596_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015602.1	Chromosome		NW_019782674.1	unplaced-scaffold	2019			scaffold15597_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015603.1	Chromosome		NW_019782675.1	unplaced-scaffold	2018			scaffold15598_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015604.1	Chromosome		NW_019782676.1	unplaced-scaffold	2018			scaffold15599_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015605.1	Chromosome		NW_019782679.1	unplaced-scaffold	2018			scaffold15600_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015606.1	Chromosome		NW_019782680.1	unplaced-scaffold	2018			scaffold15601_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015607.1	Chromosome		NW_019782681.1	unplaced-scaffold	2018			scaffold15602_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015608.1	Chromosome		NW_019782682.1	unplaced-scaffold	2018			scaffold15603_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015609.1	Chromosome		NW_019782683.1	unplaced-scaffold	2018			scaffold15604_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015610.1	Chromosome		NW_019782684.1	unplaced-scaffold	2018			scaffold15605_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015611.1	Chromosome		NW_019782685.1	unplaced-scaffold	2018			scaffold15606_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015612.1	Chromosome		NW_019782686.1	unplaced-scaffold	2018			scaffold15607_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015613.1	Chromosome		NW_019782687.1	unplaced-scaffold	2018			scaffold15608_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015614.1	Chromosome		NW_019782688.1	unplaced-scaffold	2018			scaffold15609_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015615.1	Chromosome		NW_019782690.1	unplaced-scaffold	2018			scaffold15610_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015616.1	Chromosome		NW_019782691.1	unplaced-scaffold	2018			scaffold15611_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015617.1	Chromosome		NW_019782692.1	unplaced-scaffold	2018			scaffold15612_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015618.1	Chromosome		NW_019782693.1	unplaced-scaffold	2017			scaffold15613_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015619.1	Chromosome		NW_019782694.1	unplaced-scaffold	2017			scaffold15614_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015620.1	Chromosome		NW_019782695.1	unplaced-scaffold	2017			scaffold15615_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015621.1	Chromosome		NW_019782696.1	unplaced-scaffold	2016			scaffold15616_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015622.1	Chromosome		NW_019782697.1	unplaced-scaffold	2016			scaffold15617_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015623.1	Chromosome		NW_019782698.1	unplaced-scaffold	2016			scaffold15618_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015624.1	Chromosome		NW_019782699.1	unplaced-scaffold	2016			scaffold15619_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015625.1	Chromosome		NW_019782701.1	unplaced-scaffold	2016			scaffold15620_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015626.1	Chromosome		NW_019782702.1	unplaced-scaffold	2016			scaffold15621_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015627.1	Chromosome		NW_019782703.1	unplaced-scaffold	2016			scaffold15622_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015628.1	Chromosome		NW_019782704.1	unplaced-scaffold	2015			scaffold15623_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015629.1	Chromosome		NW_019782705.1	unplaced-scaffold	2015			scaffold15624_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015630.1	Chromosome		NW_019782706.1	unplaced-scaffold	2015			scaffold15625_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015631.1	Chromosome		NW_019782707.1	unplaced-scaffold	2015			scaffold15626_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015632.1	Chromosome		NW_019782708.1	unplaced-scaffold	2015			scaffold15627_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015633.1	Chromosome		NW_019782709.1	unplaced-scaffold	2015			scaffold15628_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015634.1	Chromosome		NW_019782710.1	unplaced-scaffold	2015			scaffold15629_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015635.1	Chromosome		NW_019782712.1	unplaced-scaffold	2015			scaffold15630_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015636.1	Chromosome		NW_019782713.1	unplaced-scaffold	2015			scaffold15631_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015637.1	Chromosome		NW_019782714.1	unplaced-scaffold	2015			scaffold15632_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015638.1	Chromosome		NW_019782715.1	unplaced-scaffold	2014			scaffold15633_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015639.1	Chromosome		NW_019782716.1	unplaced-scaffold	2014			scaffold15634_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015640.1	Chromosome		NW_019782717.1	unplaced-scaffold	2014			scaffold15635_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015641.1	Chromosome		NW_019782718.1	unplaced-scaffold	2014			scaffold15636_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015642.1	Chromosome		NW_019782719.1	unplaced-scaffold	2014			scaffold15637_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015643.1	Chromosome		NW_019782720.1	unplaced-scaffold	2014			scaffold15638_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015644.1	Chromosome		NW_019782721.1	unplaced-scaffold	2014			scaffold15639_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015645.1	Chromosome		NW_019782723.1	unplaced-scaffold	2014			scaffold15640_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015646.1	Chromosome		NW_019782724.1	unplaced-scaffold	2014			scaffold15641_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015647.1	Chromosome		NW_019782725.1	unplaced-scaffold	2014			scaffold15642_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015648.1	Chromosome		NW_019782726.1	unplaced-scaffold	2014			scaffold15643_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015649.1	Chromosome		NW_019782727.1	unplaced-scaffold	2014			scaffold15644_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015650.1	Chromosome		NW_019782728.1	unplaced-scaffold	2014			scaffold15645_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015651.1	Chromosome		NW_019782729.1	unplaced-scaffold	2013			scaffold15646_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015652.1	Chromosome		NW_019782730.1	unplaced-scaffold	2013			scaffold15647_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015653.1	Chromosome		NW_019782731.1	unplaced-scaffold	2013			scaffold15648_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015654.1	Chromosome		NW_019782732.1	unplaced-scaffold	2013			scaffold15649_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015655.1	Chromosome		NW_019782734.1	unplaced-scaffold	2013			scaffold15650_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015656.1	Chromosome		NW_019782735.1	unplaced-scaffold	2013			scaffold15651_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015657.1	Chromosome		NW_019782736.1	unplaced-scaffold	2013			scaffold15652_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015658.1	Chromosome		NW_019782737.1	unplaced-scaffold	2013			scaffold15653_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015659.1	Chromosome		NW_019782738.1	unplaced-scaffold	2013			scaffold15654_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015660.1	Chromosome		NW_019782739.1	unplaced-scaffold	2012			scaffold15655_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015661.1	Chromosome		NW_019782740.1	unplaced-scaffold	2012			scaffold15656_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015662.1	Chromosome		NW_019782741.1	unplaced-scaffold	2012			scaffold15657_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015663.1	Chromosome		NW_019782742.1	unplaced-scaffold	2012			scaffold15658_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015664.1	Chromosome		NW_019782743.1	unplaced-scaffold	2012			scaffold15659_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015665.1	Chromosome		NW_019782745.1	unplaced-scaffold	2012			scaffold15660_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015666.1	Chromosome		NW_019782746.1	unplaced-scaffold	2011			scaffold15661_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015667.1	Chromosome		NW_019782747.1	unplaced-scaffold	2011			scaffold15662_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015668.1	Chromosome		NW_019782748.1	unplaced-scaffold	2011			scaffold15663_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015669.1	Chromosome		NW_019782749.1	unplaced-scaffold	2011			scaffold15664_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015670.1	Chromosome		NW_019782750.1	unplaced-scaffold	2011			scaffold15665_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015671.1	Chromosome		NW_019782751.1	unplaced-scaffold	2011			scaffold15666_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015672.1	Chromosome		NW_019782752.1	unplaced-scaffold	2011			scaffold15667_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015673.1	Chromosome		NW_019782753.1	unplaced-scaffold	2011			scaffold15668_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015674.1	Chromosome		NW_019782754.1	unplaced-scaffold	2010			scaffold15669_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015675.1	Chromosome		NW_019782756.1	unplaced-scaffold	2010			scaffold15670_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015676.1	Chromosome		NW_019782757.1	unplaced-scaffold	2010			scaffold15671_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015677.1	Chromosome		NW_019782758.1	unplaced-scaffold	2010			scaffold15672_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015678.1	Chromosome		NW_019782759.1	unplaced-scaffold	2010			scaffold15673_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015679.1	Chromosome		NW_019782760.1	unplaced-scaffold	2010			scaffold15674_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015680.1	Chromosome		NW_019782761.1	unplaced-scaffold	2010			scaffold15675_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015681.1	Chromosome		NW_019782762.1	unplaced-scaffold	2010			scaffold15676_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015682.1	Chromosome		NW_019782763.1	unplaced-scaffold	2010			scaffold15677_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015683.1	Chromosome		NW_019782764.1	unplaced-scaffold	2010			scaffold15678_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015684.1	Chromosome		NW_019782765.1	unplaced-scaffold	2009			scaffold15679_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015685.1	Chromosome		NW_019782767.1	unplaced-scaffold	2009			scaffold15680_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015686.1	Chromosome		NW_019782768.1	unplaced-scaffold	2009			scaffold15681_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015687.1	Chromosome		NW_019782769.1	unplaced-scaffold	2009			scaffold15682_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015688.1	Chromosome		NW_019782770.1	unplaced-scaffold	2009			scaffold15683_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015689.1	Chromosome		NW_019782771.1	unplaced-scaffold	2009			scaffold15684_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015690.1	Chromosome		NW_019782772.1	unplaced-scaffold	2009			scaffold15685_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015691.1	Chromosome		NW_019782773.1	unplaced-scaffold	2009			scaffold15686_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015692.1	Chromosome		NW_019782774.1	unplaced-scaffold	2009			scaffold15687_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015693.1	Chromosome		NW_019782775.1	unplaced-scaffold	2008			scaffold15688_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015694.1	Chromosome		NW_019782776.1	unplaced-scaffold	2008			scaffold15689_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015695.1	Chromosome		NW_019782778.1	unplaced-scaffold	2008			scaffold15690_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015696.1	Chromosome		NW_019782779.1	unplaced-scaffold	2008			scaffold15691_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015697.1	Chromosome		NW_019782780.1	unplaced-scaffold	2008			scaffold15692_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015698.1	Chromosome		NW_019782781.1	unplaced-scaffold	2008			scaffold15693_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015699.1	Chromosome		NW_019782782.1	unplaced-scaffold	2008			scaffold15694_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015700.1	Chromosome		NW_019782783.1	unplaced-scaffold	2008			scaffold15695_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015701.1	Chromosome		NW_019782784.1	unplaced-scaffold	2008			scaffold15696_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015702.1	Chromosome		NW_019782785.1	unplaced-scaffold	2007			scaffold15697_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015703.1	Chromosome		NW_019782786.1	unplaced-scaffold	2007			scaffold15698_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015704.1	Chromosome		NW_019782787.1	unplaced-scaffold	2007			scaffold15699_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015705.1	Chromosome		NW_019782790.1	unplaced-scaffold	2007			scaffold15700_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015706.1	Chromosome		NW_019782791.1	unplaced-scaffold	2007			scaffold15701_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015707.1	Chromosome		NW_019782792.1	unplaced-scaffold	2007			scaffold15702_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015708.1	Chromosome		NW_019782793.1	unplaced-scaffold	2007			scaffold15703_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015709.1	Chromosome		NW_019782794.1	unplaced-scaffold	2007			scaffold15704_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015710.1	Chromosome		NW_019782795.1	unplaced-scaffold	2007			scaffold15705_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015711.1	Chromosome		NW_019782796.1	unplaced-scaffold	2007			scaffold15706_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015712.1	Chromosome		NW_019782797.1	unplaced-scaffold	2007			scaffold15707_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015713.1	Chromosome		NW_019782798.1	unplaced-scaffold	2007			scaffold15708_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015714.1	Chromosome		NW_019782799.1	unplaced-scaffold	2007			scaffold15709_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015715.1	Chromosome		NW_019782801.1	unplaced-scaffold	2007			scaffold15710_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015716.1	Chromosome		NW_019782802.1	unplaced-scaffold	2007			scaffold15711_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015717.1	Chromosome		NW_019782803.1	unplaced-scaffold	2007			scaffold15712_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015718.1	Chromosome		NW_019782804.1	unplaced-scaffold	2006			scaffold15713_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015719.1	Chromosome		NW_019782805.1	unplaced-scaffold	2006			scaffold15714_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015720.1	Chromosome		NW_019782806.1	unplaced-scaffold	2006			scaffold15715_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015721.1	Chromosome		NW_019782807.1	unplaced-scaffold	2006			scaffold15716_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015722.1	Chromosome		NW_019782808.1	unplaced-scaffold	2006			scaffold15717_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015723.1	Chromosome		NW_019782809.1	unplaced-scaffold	2006			scaffold15718_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015724.1	Chromosome		NW_019782810.1	unplaced-scaffold	2006			scaffold15719_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015725.1	Chromosome		NW_019782812.1	unplaced-scaffold	2006			scaffold15720_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015726.1	Chromosome		NW_019782813.1	unplaced-scaffold	2006			scaffold15721_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015727.1	Chromosome		NW_019782814.1	unplaced-scaffold	2005			scaffold15722_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01015728.1	Chromosome		NW_019782815.1	unplaced-scaffold	2005			scaffold15723_part1
