SNP.Name,Chromosome,cM.Position.Sex.Averaged,cM.Position.Female,cM.Position.Male,Genome.Position.Oarv3.1
OAR9_32280523.1,9,37.948,30.11,51.947,30852525
s73465.1,9,37.948,30.11,51.947,31024376
OAR9_32460343.1,9,37.948,30.11,51.947,31034563
OAR9_32570124.1,9,38.028,30.11,52.064,31134013
OAR9_32605349.1,9,38.104,30.11,52.175,31176501
OAR9_32632538_X.1,9,38.337,30.656,52.175,31207554
OAR9_32726527.1,9,38.468,31.053,52.175,31296006
OAR9_32756710.1,9,38.468,31.053,52.175,31325279
OAR9_32819540.1,9,38.778,31.053,52.569,31387692
OAR9_32881373.1,9,38.778,31.053,52.569,31416999
OAR9_32911813.1,9,38.778,31.053,52.569,31421304
OAR9_32928388.1,9,38.778,31.053,52.569,31436214
s25030.1,9,38.778,31.053,52.569,31534631
OAR9_33106694.1,9,38.843,31.156,52.569,31591178
OAR9_33155950.1,9,38.843,31.156,52.569,31651417
OAR9_33175675.1,9,38.843,31.156,52.569,31672494
OAR9_33215449.1,9,38.843,31.156,52.569,31693511
OAR9_33298460.1,9,38.932,31.308,52.569,31780207
OAR9_33350205.1,9,38.932,31.308,52.569,31834600
s60859.1,9,39.395,32.022,52.569,31944220
s61506.1,9,39.395,32.022,52.569,32003055
OAR9_33550471.1,9,39.395,32.022,52.569,32025839
s14191.1,9,39.705,32.371,53.001,32071504
s66058.1,9,39.705,32.371,53.001,32100676
s13514.1,9,39.705,32.371,53.001,32128668
OAR9_33735501_X.1,9,39.912,32.371,53.471,32212468
OAR9_33777151.1,9,40.129,32.664,53.471,32258653
OAR9_33832558.1,9,40.129,32.664,53.471,32317051
s55587.1,9,40.264,32.664,53.711,32366157
OAR9_33928126_X.1,9,40.289,32.664,54.094,32411883
OAR9_33933945.1,9,40.289,32.664,54.094,32417473
s51056.1,9,40.559,32.938,54.094,32532260
s62043.1,9,40.559,32.938,54.094,32549374
s72893.1,9,40.679,33.25,54.094,32618977
s33105.1,9,40.88,33.25,54.356,32671922
s56466.1,9,41.07,33.505,54.728,32706218
OAR9_34431928.1,9,41.07,33.505,54.728,32815568
OAR9_34474388.1,9,41.31,33.769,54.728,32859343
OAR9_34495564.1,9,41.31,33.769,54.728,32887870
OAR9_34532217.1,9,41.31,33.769,54.728,32926251
s15620.1,9,41.31,33.769,54.728,32980206
OAR9_34617555.1,9,41.31,33.769,54.728,33008527
OAR9_34630051.1,9,41.31,33.769,54.728,33020341
OAR9_34691664.1,9,41.31,33.769,54.728,33069038
s14665.1,9,41.5,34.056,54.728,33160530
s28454.1,9,41.5,34.056,54.728,33220073
OAR9_34877405.1,9,41.5,34.056,54.728,33251201
OAR9_34915518.1,9,41.5,34.056,54.728,33264023
OAR9_34974111.1,9,41.5,34.056,54.728,33320114
s42771.1,9,41.5,34.056,54.728,33354903
OAR9_35052453_X.1,9,41.5,34.056,54.728,33392079
s71002.1,9,41.5,34.056,54.728,33437212
s54064.1,9,41.5,34.056,54.728,33453009
s05239.1,9,41.5,34.056,54.728,33463723
OAR9_35170724.1,9,41.5,34.056,54.728,33501744
OAR9_35203437.1,9,41.5,34.056,54.728,33529973
OAR9_35242474_X.1,9,41.5,34.056,54.728,33569085
OAR9_35269990.1,9,41.5,34.056,54.728,33595065
OAR9_35522648_X.1,9,41.623,34.056,54.968,33802198
DU220919_147.1,9,41.623,34.056,54.968,33880793
OAR9_35628237.1,9,41.623,34.056,54.968,33901166
s01560.1,9,41.804,34.32,55.086,33954999
OAR9_35757843.1,9,41.993,34.597,55.207,33999832
DU520938_103.1,9,41.993,34.597,55.207,34035025
s05606.1,9,41.993,34.597,55.207,34048568
OAR9_35880400.1,9,41.993,34.597,55.207,34122486
s66804.1,9,41.993,34.597,55.207,34174873
s68634.1,9,41.993,34.597,55.207,34184231
OAR9_36090611.1,9,42.308,35.102,55.207,34335874
OAR9_36122331.1,9,42.308,35.102,55.207,34368481
OAR9_36178866.1,9,42.308,35.102,55.207,34428520
OAR9_36197094.1,9,42.308,35.102,55.207,34445010
OAR9_36426512.1,9,42.413,35.102,55.328,34553243
DU427730_369.1,9,42.51,35.102,55.44,34588616
s49668.1,9,42.51,35.102,55.44,34623469
OAR9_36522085.1,9,42.51,35.102,55.44,34653090
OAR9_36535180.1,9,42.51,35.102,55.44,34666600
s29770.1,9,42.705,35.51,55.501,34736040
OAR9_36726320.1,9,42.705,35.51,55.501,34840548
s73611.1,9,42.705,35.51,55.501,34890128
DU306244_235.1,9,42.705,35.51,55.501,34905335
OAR9_36817104.1,9,42.705,35.51,55.501,34935608
s02261.1,9,42.705,35.51,55.501,35002550
s32613.1,9,42.912,35.795,55.68,35066452
OAR9_36969140.1,9,42.912,35.795,55.68,35070890
s49289.1,9,42.912,35.795,55.68,35161012
OAR9_37133559_X.1,9,43.149,36.156,55.68,35220018
OAR9_37208898.1,9,43.149,36.156,55.68,35300316
s57781.1,9,43.149,36.156,55.68,35368034
OAR9_37300722.1,9,43.149,36.156,55.68,35414177
OAR9_37314529.1,9,43.149,36.156,55.68,35429734
OAR9_37332594.1,9,43.149,36.156,55.68,35446927
OAR9_37381503_X.1,9,43.149,36.156,55.68,35497014
OAR9_37414646.1,9,43.237,36.156,55.824,35529619
s10902.1,9,43.348,36.156,56.025,35588639
OAR9_37662172.1,9,44.153,37.246,56.602,35772147
OAR9_37709039.1,9,44.387,37.413,56.602,35816556
OAR9_37760337.1,9,44.387,37.413,56.602,35857204
s61067.1,9,44.62,37.893,56.602,36000391
OAR9_37994154.1,9,44.633,37.906,56.602,36057537
OAR9_38067484.1,9,44.633,37.906,56.602,36130026
OAR9_38099807.1,9,44.786,37.906,57.097,36163638
OAR9_38185109.1,9,44.786,37.906,57.097,36246426
s47300.1,9,44.992,38.19,57.097,36432250
OAR9_38454025.1,9,45.095,38.333,57.097,36521139
OAR9_38488053.1,9,45.095,38.333,57.097,36557463
s56568.1,9,45.163,38.435,57.097,36702688
OAR9_38670488.1,9,45.163,38.435,57.097,36746818
OAR9_38688910.1,9,45.163,38.435,57.097,36765092
OAR9_38757503.1,9,45.255,38.49,57.45,36835332
OAR9_38833086.1,9,45.337,38.537,57.756,36909740
s18866.1,9,45.337,38.537,57.756,36969947
OAR9_38897528.1,9,45.337,38.537,57.756,37037067
s31148.1,9,45.573,38.795,57.756,37146328
s17167.1,9,45.573,38.795,57.756,37165280
s33816.1,9,45.573,38.795,57.756,37257322
OAR9_39147066.1,9,45.573,38.795,57.756,37288260
OAR9_39229438.1,9,45.573,38.795,57.756,37368036
OAR9_39276250.1,9,45.573,38.795,57.756,37415195
OAR9_39334819.1,9,45.683,38.958,57.756,37451801
OAR9_39445862.1,9,45.807,39.147,57.756,37547843
s01662.1,9,45.807,39.147,57.756,37600513
OAR9_39624075.1,9,46.124,39.499,57.875,37722456
OAR9_39641950.1,9,46.124,39.499,57.875,37741142
OAR9_39686085.1,9,46.124,39.499,57.875,37784103
OAR9_39694426.1,9,46.124,39.499,57.875,37792086
OAR9_39702016.1,9,46.124,39.499,57.875,37799464
OAR9_39761422.1,9,46.124,39.499,57.875,37857336
OAR9_39790883.1,9,46.124,39.499,57.875,37887578
s73120.1,9,46.124,39.499,57.875,37937156
OAR9_39924477.1,9,46.124,39.499,57.875,38017451
OAR9_39963838.1,9,46.124,39.499,57.875,38058052
OAR9_40106165.1,9,46.568,39.996,58.224,38205324
OAR9_40206894.1,9,46.568,39.996,58.224,38302828
OAR9_40217510.1,9,46.659,40.141,58.224,38313386
OAR9_40277340.1,9,46.659,40.141,58.224,38368203
OAR9_40319481.1,9,46.692,40.141,58.247,38409588
OAR9_40346483.1,9,46.692,40.141,58.247,38436875
OAR9_40371323.1,9,46.692,40.141,58.247,38452878
OAR9_40565340.1,9,47.018,40.491,58.593,38637318
OAR9_40601782.1,9,47.018,40.491,58.593,38672451
OAR9_40641665.1,9,47.33,40.795,58.964,38711807
OAR9_40662647.1,9,47.33,40.795,58.964,38732273
OAR9_40708668.1,9,47.33,40.795,58.964,38779163
OAR9_40771150.1,9,47.33,40.795,58.964,38846009
OAR9_40777343.1,9,47.33,40.795,58.964,38852291
OAR9_41042935.1,9,47.483,41.084,58.964,39082765
s12020.1,9,47.483,41.084,58.964,39112271
OAR9_41187686.1,9,47.652,41.084,59.328,39227808
s12119.1,9,47.652,41.084,59.328,39288810
OAR9_41302443_X.1,9,47.652,41.084,59.328,39344909
s11510.1,9,47.652,41.084,59.328,39402216
OAR9_41429299.1,9,47.832,41.314,59.427,39453432
s66919.1,9,47.983,41.502,59.507,39514416
s73717.1,9,47.983,41.502,59.507,39541822
OAR9_41622113.1,9,47.983,41.502,59.507,39557740
OAR9_41700456.1,9,47.983,41.502,59.507,39671594
s52985.1,9,47.983,41.502,59.507,39713114
OAR9_41768159.1,9,47.983,41.502,59.507,39730763
OAR9_41831193_X.1,9,47.983,41.502,59.507,39796930
OAR9_41874977.1,9,47.983,41.502,59.507,39838978
s71803.1,9,48.478,42.199,59.652,39931133
OAR9_42051923.1,9,48.478,42.199,59.652,40015977
OAR9_42160144.1,9,48.478,42.199,59.652,40135248
OAR9_42208321.1,9,48.478,42.199,59.652,40185738
OAR9_42239719.1,9,48.478,42.199,59.652,40215319
OAR9_42264322.1,9,48.527,42.343,59.652,40242348
OAR9_42327321.1,9,48.576,42.482,59.652,40307442
OAR9_42371046_X.1,9,48.576,42.482,59.652,40353538
OAR9_42421724.1,9,48.817,42.482,60.057,40400708
OAR9_42458565.1,9,48.817,42.482,60.057,40437137
OAR9_42468779_X.1,9,48.817,42.482,60.057,40447861
OAR9_42517136.1,9,48.95,42.659,60.057,40498168
OAR9_42661858.1,9,49.085,42.841,60.057,40660629
s36780.1,9,49.085,42.841,60.057,40700836
OAR9_42766130_X.1,9,49.402,43.203,60.701,40764289
OAR9_42797447.1,9,49.71,43.493,60.701,40792411
OAR9_42842991.1,9,49.746,43.514,60.701,40814305
OAR9_42888343.1,9,49.986,44.079,60.701,40845062
OAR9_42902329.1,9,49.986,44.079,60.701,40868212
OAR9_42992335.1,9,49.986,44.079,60.701,40919603
s17967.1,9,49.986,44.079,60.701,40997187
OAR9_43100350.1,9,50.46,44.079,61.662,41028040
DU425414_134.1,9,50.46,44.079,61.662,41081901
OAR9_43198107.1,9,50.565,44.305,61.662,41124128
OAR9_43241939.1,9,50.565,44.305,61.662,41177084
OAR9_43302141.1,9,50.565,44.305,61.662,41210003
OAR9_43354268.1,9,50.565,44.305,61.662,41261264
s44195.1,9,51.034,44.853,62.033,41343704
OAR9_43466490.1,9,51.034,44.853,62.033,41373238
OAR9_43502902.1,9,51.034,44.853,62.033,41407883
s54630.1,9,51.034,44.853,62.033,41460237
OAR9_43640216_X.1,9,51.034,44.853,62.033,41508365
OAR9_43692772.1,9,51.034,44.853,62.033,41562156
OAR9_43708493.1,9,51.034,44.853,62.033,41575804
OAR9_43772610.1,9,51.361,45.333,62.033,41640814
OAR9_43786043.1,9,51.688,45.574,62.578,41655783
OAR9_43848343.1,9,51.688,45.574,62.578,41690450
OAR9_43898786.1,9,51.688,45.574,62.578,41741851
OAR9_43995242.1,9,51.688,45.574,62.578,41839743
OAR9_44002944.1,9,51.688,45.574,62.578,41847469
OAR9_44061189.1,9,51.688,45.574,62.578,41905115
OAR9_44124978.1,9,51.688,45.574,62.578,41968203
OAR9_44189210.1,9,51.688,45.574,62.578,42035290
s70930.1,9,51.688,45.574,62.578,42084865
s09706.1,9,51.96,45.967,62.578,42173202
s55235.1,9,52.209,46.402,62.578,42361193
OAR9_44551958.1,9,52.209,46.402,62.578,42410286
OAR9_44636659.1,9,52.209,46.402,62.578,42465998
s68109.1,9,52.209,46.402,62.578,42494814
OAR9_44704426.1,9,52.284,46.505,62.578,42531277
OAR9_44747972.1,9,52.304,46.505,62.578,42572580
OAR9_44795896.1,9,52.304,46.505,62.578,42623707
OAR9_44822294.1,9,52.304,46.505,62.578,42648187
OAR9_44870429.1,9,52.441,46.658,62.721,42691292
s20045.1,9,52.441,46.658,62.721,42809177
OAR9_45099752.1,9,52.441,46.658,62.721,42918287
OAR9_45146162.1,9,52.441,46.658,62.721,42964644
OAR9_45171010.1,9,52.441,46.658,62.721,42990362
OAR9_45215164.1,9,52.441,46.658,62.721,43034158
OAR9_45312192.1,9,52.441,46.658,62.721,43132030
OAR9_45338212.1,9,52.56,46.875,62.721,43154747
OAR9_45378646.1,9,52.56,46.875,62.721,43201072
OAR9_45436113.1,9,53.118,47.058,63.988,43265580
OAR9_45450110.1,9,53.118,47.058,63.988,43278498
s64333.1,9,53.448,47.521,63.988,43584092
s20326.1,9,53.448,47.521,63.988,43620900
OAR9_45810713.1,9,53.448,47.521,63.988,43666500
OAR9_45874551.1,9,53.448,47.521,63.988,43727660
OAR9_45887265.1,9,53.448,47.521,63.988,43739786
OAR9_45952110.1,9,53.448,47.521,63.988,43803853
OAR9_46198433.1,9,53.448,47.521,63.988,44047137
OAR9_46256958.1,9,53.448,47.521,63.988,44107904
OAR9_46290832.1,9,53.448,47.521,63.988,44139176
OAR9_46389421.1,9,53.448,47.521,63.988,44181445
OAR9_46413070.1,9,53.448,47.521,63.988,44204545
OAR9_46531990.1,9,53.448,47.521,63.988,44300923
OAR9_46611532.1,9,53.448,47.521,63.988,44541138
OAR9_46870740.1,9,53.448,47.521,63.988,44628863
OAR9_46907336.1,9,53.448,47.521,63.988,44665941
OAR9_46923137.1,9,53.708,47.905,63.988,44686887
OAR9_46983424.1,9,53.708,47.905,63.988,44751356
OAR9_47011909.1,9,53.708,47.905,63.988,44783248
OAR9_47018997.1,9,53.708,47.905,63.988,44790081
s14105.1,9,53.806,48.047,64.16,44894748
OAR9_47174084.1,9,53.806,48.047,64.16,44948400
s09072.1,9,54.38,48.641,64.806,45099304
OAR9_47384888.1,9,54.38,48.641,64.806,45161740
OAR9_47437080.1,9,54.38,48.641,64.806,45206187
OAR9_47487486_X.1,9,54.38,48.641,64.806,45250113
s74721.1,9,54.38,48.641,64.806,45306636
OAR9_47603330.1,9,54.421,48.69,64.806,45364923
OAR9_47627694.1,9,54.76,48.69,65.344,45385174
s64883.1,9,55.004,48.971,65.713,45431948
OAR9_47694720.1,9,55.004,48.971,65.713,45451816
OAR9_47951688.1,9,55.12,49.214,65.713,45702579
OAR9_48032967.1,9,55.12,49.214,65.713,45782207
OAR9_48057423.1,9,55.12,49.214,65.713,45805964
s49790.1,9,55.12,49.214,65.713,45864372
OAR9_48142008.1,9,55.12,49.214,65.713,45892074
OAR9_48176756.1,9,55.12,49.214,65.713,45920888
OAR9_48204690.1,9,55.12,49.214,65.713,45954365
OAR9_48268070.1,9,55.12,49.214,65.713,46016953
OAR9_48283105.1,9,55.12,49.214,65.713,46029959
OAR9_48328439.1,9,55.12,49.214,65.713,46077612
OAR9_48377856.1,9,55.307,49.316,66.032,46087226
OAR9_48471044.1,9,55.307,49.316,66.032,46168539
OAR9_48503609.1,9,55.307,49.316,66.032,46202139
OAR9_48523939.1,9,55.307,49.316,66.032,46221820
OAR9_48598227.1,9,55.538,49.38,66.615,46291282
OAR9_48614045.1,9,55.654,49.411,66.907,46308554
OAR9_48700385.1,9,55.792,49.543,66.907,46400120
OAR9_48785619.1,9,55.792,49.543,66.907,46421659
OAR9_48890336.1,9,56.089,49.709,67.391,46524144
s35171.1,9,56.089,49.709,67.391,46593673
s68671.1,9,56.259,50.007,67.391,46607513
s45627.1,9,56.259,50.007,67.391,46639089
OAR9_49061755.1,9,56.259,50.007,67.391,46674607
OAR9_49101340.1,9,56.259,50.007,67.391,46714202
OAR9_49149998.1,9,56.259,50.007,67.391,46763820
OAR9_49171050.1,9,56.259,50.007,67.391,46784478
OAR9_49270578.1,9,56.259,50.007,67.391,46882877
OAR9_49298583.1,9,56.351,50.209,67.391,46911698
OAR9_49401772.1,9,56.351,50.209,67.391,47007895
OAR9_49413240.1,9,56.351,50.209,67.391,47019290
OAR9_49552164.1,9,56.351,50.209,67.391,47156880
OAR9_49690860.1,9,56.366,50.209,67.417,47362083
s14811.1,9,56.379,50.209,67.439,47387264
OAR9_49721243.1,9,56.391,50.209,67.458,47393154
OAR9_49747644.1,9,56.403,50.209,67.477,47413195
s69647.1,9,56.415,50.209,67.497,47463420
OAR9_49836627.1,9,56.428,50.209,67.517,47500331
OAR9_49871694.1,9,56.44,50.209,67.536,47532962
OAR9_49887535.1,9,56.44,50.209,67.536,47548327
OAR9_49941341.1,9,56.44,50.209,67.536,47607103
OAR9_49953513.1,9,56.44,50.209,67.536,47619151
OAR9_50008246.1,9,56.44,50.209,67.536,47672898
s54865.1,9,56.44,50.209,67.536,47720338
s31187.1,9,56.44,50.209,67.536,47741053
OAR9_50189201.1,9,56.44,50.209,67.536,47825789
OAR9_50204259.1,9,56.634,50.333,67.817,47843009
s24048.1,9,56.836,50.465,68.116,48003498
s66606.1,9,56.836,50.465,68.116,48086218
s20651.1,9,56.836,50.465,68.116,48495254
s58030.1,9,56.836,50.465,68.116,48652754
s06624.1,9,56.836,50.465,68.116,48808055
s65989.1,9,57.761,51.331,69.329,49085105
s43794.1,9,57.761,51.331,69.329,49122534
s37389.1,9,58.313,51.98,69.45,49279667
s45689.1,9,59.512,53.183,70.804,49849503
s43994.1,9,59.512,53.183,70.804,49994559
s28488.1,9,59.512,53.183,70.804,50121928
s32662.1,9,59.512,53.183,70.804,50183875
s71875.1,9,59.512,53.183,70.804,50318215
s07385.1,9,59.512,53.183,70.804,50386911
s50107.1,9,59.655,53.309,70.973,50463148
s49039.1,9,59.655,53.309,70.973,50472159
s53092.1,9,59.655,53.309,70.973,50554888
s31696.1,9,59.655,53.309,70.973,50709276
s40882.1,9,60.646,54.458,71.018,51476258
OAR9_53996431.1,9,60.692,54.458,71.969,51636301
OAR9_54068542.1,9,60.692,54.458,71.969,51711414
s15440.1,9,60.692,54.458,71.969,51761730
OAR9_54237904.1,9,60.692,54.458,71.969,51864066
OAR9_54274940.1,9,60.692,54.458,71.969,51885382
OAR9_54446106.1,9,60.692,54.458,71.969,52068437
OAR9_54552150.1,9,61.044,54.475,72.51,52165891
OAR9_54609938.1,9,61.044,54.475,72.51,52221945
OAR9_54833854.1,9,61.193,54.904,72.51,52428789
OAR9_54969392.1,9,61.193,54.904,72.51,52565541
OAR9_54981504_X.1,9,61.193,54.904,72.51,52575226
OAR9_55096298.1,9,61.193,54.904,72.51,52619668
OAR9_55111443.1,9,61.193,54.904,72.51,52633378
OAR9_55121048.1,9,61.193,54.904,72.51,52643203
OAR9_55140044.1,9,61.193,54.904,72.51,52661656
OAR9_55214142.1,9,61.313,54.904,72.64,52734688
OAR9_55269973.1,9,61.313,54.904,72.64,52796157
OAR9_55350197.1,9,61.596,55.372,72.64,52877550
OAR9_55367469.1,9,61.596,55.372,72.64,52895003
OAR9_55485114.1,9,61.596,55.372,72.64,53015370
OAR9_55525366.1,9,61.596,55.372,72.64,53055485
OAR9_55567843.1,9,61.596,55.372,72.64,53099357
OAR9_55596170.1,9,61.596,55.372,72.64,53130544
OAR9_55656627.1,9,61.596,55.372,72.64,53192656
OAR9_55751164.1,9,61.741,55.501,72.844,53281169
OAR9_55775007.1,9,61.741,55.501,72.844,53307896
OAR9_55809751.1,9,61.741,55.501,72.844,53344689
OAR9_55871098.1,9,61.83,55.549,73.033,53415397
OAR9_55884327.1,9,61.83,55.549,73.033,53423465
OAR9_55960056.1,9,61.931,55.606,73.065,53495093
OAR9_56055528.1,9,61.931,55.606,73.065,53571443
OAR9_56118036_X.1,9,61.931,55.606,73.065,53635613
OAR9_56195960.1,9,62.037,55.606,73.49,53703348
OAR9_56234135.1,9,62.037,55.606,73.49,53748746
OAR9_56344434.1,9,62.037,55.606,73.49,53852431
OAR9_56455870.1,9,62.037,55.606,73.49,53938356
OAR9_56685157.1,9,62.375,55.907,73.876,54049121
OAR9_56722827.1,9,62.375,55.907,73.876,54089845
OAR9_56759165.1,9,62.375,55.907,73.876,54133573
OAR9_56859410.1,9,62.375,55.907,73.876,54239523
OAR9_56869970.1,9,62.375,55.907,73.876,54247653
OAR9_56925318.1,9,62.375,55.907,73.876,54306628
s50783.1,9,62.375,55.907,73.876,54370971
OAR9_56999622.1,9,62.375,55.907,73.876,54383361
OAR9_57124639.1,9,62.375,55.907,73.876,54472791
OAR9_57178779.1,9,62.375,55.907,73.876,54521626
OAR9_57229287.1,9,62.586,56.229,73.876,54571904
s37933.1,9,62.586,56.229,73.876,54585769
OAR9_57279474.1,9,62.586,56.229,73.876,54619887
OAR9_57354915.1,9,62.586,56.229,73.876,54693470
OAR9_57388779.1,9,62.586,56.229,73.876,54727535
OAR9_57398243.1,9,62.586,56.229,73.876,54738650
OAR9_57465755.1,9,62.586,56.229,73.876,54801532
OAR9_57543595.1,9,62.651,56.311,73.905,54861266
OAR9_57584625.1,9,62.852,56.595,73.993,54900341
OAR9_57687900.1,9,62.927,56.717,73.993,54991938
OAR9_57695806.1,9,62.927,56.717,73.993,54999922
OAR9_57751897.1,9,62.927,56.717,73.993,55056846
OAR9_57807524.1,9,62.992,56.824,73.993,55101443
s69169.1,9,63.047,56.908,73.993,55120645
OAR9_57883075.1,9,63.047,56.908,73.993,55169273
OAR9_57902935.1,9,63.047,56.908,73.993,55189411
OAR9_57949141.1,9,63.122,57.021,73.993,55238820
OAR9_57973033.1,9,63.122,57.021,73.993,55262447
OAR9_58097281.1,9,63.122,57.021,73.993,55392059
OAR9_58160256_X.1,9,63.122,57.021,73.993,55451748
OAR9_58187054.1,9,63.122,57.021,73.993,55477431
OAR9_58229925.1,9,63.154,57.074,73.993,55511678
OAR9_58269329.1,9,63.184,57.122,73.993,55547067
OAR9_58315645.1,9,63.215,57.174,73.993,55587264
OAR9_58351842.1,9,63.215,57.174,73.993,55622062
OAR9_58375760.1,9,63.215,57.174,73.993,55653137
s49456.1,9,63.215,57.174,73.993,55696434
OAR9_58446822.1,9,63.484,57.535,74.181,55723483
s42079.1,9,63.697,57.535,74.653,55772905
s63793.1,9,63.697,57.535,74.653,55856105
OAR9_58645857.1,9,63.697,57.535,74.653,55914129
OAR9_58702651.1,9,63.697,57.535,74.653,55972810
s14503.1,9,63.697,57.535,74.653,55984413
s60103.1,9,63.697,57.535,74.653,55994406
OAR9_58767921.1,9,63.697,57.535,74.653,56039025
OAR9_58845489.1,9,63.697,57.535,74.653,56115811
OAR9_58882656.1,9,63.879,57.76,74.861,56149491
OAR9_58938716.1,9,63.879,57.76,74.861,56204147
OAR9_58979528.1,9,63.879,57.76,74.861,56244160
OAR9_59075526.1,9,63.879,57.76,74.861,56333297
OAR9_59125476.1,9,63.879,57.76,74.861,56382288
OAR9_59161673.1,9,64.083,58.08,74.861,56406931
s50252.1,9,64.106,58.08,74.861,56506969
OAR9_59297091_X.1,9,64.474,58.522,75.112,56543545
OAR9_59326545.1,9,64.474,58.522,75.112,56572469
OAR9_59340437.1,9,64.474,58.522,75.112,56585933
OAR9_59402267.1,9,64.474,58.522,75.112,56649679
OAR9_59549818.1,9,64.474,58.522,75.112,56693779
OAR9_59607513.1,9,64.474,58.522,75.112,56756768
OAR9_59686595.1,9,64.474,58.522,75.112,56834429
OAR9_59741437.1,9,64.855,58.857,75.526,56885825
OAR9_59844343.1,9,64.855,58.857,75.526,56980147
s68000.1,9,64.855,58.857,75.526,57016289
s15704.1,9,65.039,58.857,76.238,57146343
s02352.1,9,65.039,58.857,76.238,57175408
OAR9_60143990.1,9,65.039,58.857,76.238,57228393
OAR9_60243687.1,9,65.039,58.857,76.238,57333616
OAR9_60256436.1,9,65.039,58.857,76.238,57345879
OAR9_60278065.1,9,65.039,58.857,76.238,57365471
OAR9_60341167.1,9,65.141,59.164,76.238,57407428
OAR9_60354037.1,9,65.141,59.164,76.238,57418715
OAR9_60408059.1,9,65.278,59.208,76.238,57463752
OAR9_60512150.1,9,65.571,59.566,76.238,57523995
s70965.1,9,65.571,59.566,76.238,57575579
OAR9_60629288.1,9,65.571,59.566,76.238,57652873
OAR9_60659069.1,9,65.571,59.566,76.238,57678675
OAR9_60688778.1,9,65.571,59.566,76.238,57707695
OAR9_60727803.1,9,65.571,59.566,76.238,57745119
OAR9_60824316.1,9,65.79,59.795,76.438,57839045
OAR9_60841760.1,9,65.79,59.795,76.438,57853740
OAR9_60910040.1,9,65.79,59.795,76.438,57918566
OAR9_60946336.1,9,65.79,59.795,76.438,57952896
OAR9_60961634.1,9,65.79,59.795,76.438,57966332
OAR9_61117968.1,9,66.833,61.043,77.181,58130539
OAR9_61153256.1,9,66.833,61.043,77.181,58166683
OAR9_61212902.1,9,66.833,61.043,77.181,58230440
OAR9_61283054.1,9,66.833,61.043,77.181,58287408
OAR9_61335267.1,9,67.209,61.249,77.826,58339753
OAR9_61372683.1,9,67.209,61.249,77.826,58370760
OAR9_61405448.1,9,67.209,61.249,77.826,58401843
OAR9_61469536.1,9,67.282,61.249,77.997,58468685
s10347.1,9,67.282,61.249,77.997,58523923
OAR9_61574672.1,9,67.282,61.249,77.997,58573339
s55580.1,9,67.282,61.249,77.997,58634770
OAR9_61669712.1,9,67.282,61.249,77.997,58666715
OAR9_61707975.1,9,67.282,61.249,77.997,58702524
OAR9_61745653.1,9,67.567,61.486,78.373,58741715
OAR9_61775166.1,9,67.567,61.486,78.373,58774225
OAR9_61830651.1,9,67.612,61.523,78.442,58831822
OAR9_61866107.1,9,67.612,61.523,78.442,58866825
OAR9_61901728_X.1,9,67.612,61.523,78.442,58901311
OAR9_61950211.1,9,67.612,61.523,78.442,58944534
s71892.1,9,67.612,61.523,78.442,58992455
OAR9_62078966.1,9,67.812,61.703,78.688,59068066
s65335.1,9,67.812,61.703,78.688,59119090
s23011.1,9,67.812,61.703,78.688,59132207
OAR9_62169543.1,9,67.812,61.703,78.688,59161481
OAR9_62188993.1,9,67.871,61.703,78.823,59181178
s15659.1,9,68.412,61.994,79.741,59273752
OAR9_62308628.1,9,68.412,61.994,79.741,59299378
OAR9_62349241.1,9,68.412,61.994,79.741,59344469
s70373.1,9,68.493,62.143,79.741,59370241
OAR9_62478586.1,9,68.493,62.143,79.741,59468870
s33454.1,9,68.493,62.143,79.741,59527275
OAR9_62551120.1,9,68.493,62.143,79.741,59540633
s52493.1,9,68.493,62.143,79.741,59659658
OAR9_62719368.1,9,68.647,62.272,79.942,59719717
OAR9_62758004.1,9,68.647,62.272,79.942,59770374
OAR9_62768786_X.1,9,68.647,62.272,79.942,59778487
s43296.1,9,68.647,62.272,79.942,59910046
OAR9_62920249.1,9,68.647,62.272,79.942,59932452
s45212.1,9,68.684,62.285,79.942,60138992
OAR9_63148438.1,9,68.72,62.297,79.942,60167949
OAR9_63228739.1,9,68.944,62.651,79.942,60246126
OAR9_63369715.1,9,68.944,62.651,79.942,60413311
s18398.1,9,69.515,63.183,80.741,60498685
s13022.1,9,69.515,63.183,80.741,60523758
s57864.1,9,69.515,63.183,80.741,60565647
OAR9_63672757.1,9,69.515,63.183,80.741,60576151
OAR9_63720685.1,9,69.515,63.183,80.741,60584570
OAR9_63752361.1,9,69.515,63.183,80.741,60614133
OAR9_63801665.1,9,69.617,63.325,80.795,60664325
OAR9_63903278.1,9,69.726,63.483,80.866,60775608
OAR9_63928272.1,9,69.726,63.483,80.866,60800837
s49230.1,9,70.039,63.938,80.878,60990089
OAR9_64150094.1,9,70.039,63.938,80.878,61020688
OAR9_64161115.1,9,70.039,63.938,80.878,61031559
s57462.1,9,70.217,63.938,81.279,61102203
OAR9_64253318.1,9,70.422,64.04,81.738,61123411
OAR9_64309547.1,9,70.524,64.04,81.943,61175899
OAR9_64327803.1,9,70.524,64.04,81.943,61194046
OAR9_64384776.1,9,70.696,64.265,81.943,61245634
OAR9_64391139.1,9,70.711,64.265,82.113,61252745
OAR9_64502345.1,9,70.711,64.265,82.113,61359181
